Player_Name,Points,Team,height,weight,Position,collage,Age,All_Star
"Horacio Llamas",24,PHO,211,129,C,"Grand Canyon University",24,0
"Brad Lohaus",19,SAS,211,104,PF,"University of Iowa",33,0
"Grant Long",141,DET,203,102,PF,"Eastern Michigan University",31,0
"Luc Longley",663,CHI,218,120,C,"University of New Mexico",29,0
"George Lynch",616,VAN,203,98,SF,"University of North Carolina",27,0
"Sam Mack",616,VAN,201,99,SF,"University of Houston",27,0
"Gerald Madkins",37,GSW,193,90,SG,"University of California, Los Angeles",28,0
"Rick Mahorn",141,DET,208,108,C,"Hampton University",39,0
"Dan Majerle",519,MIA,198,97,SG,"Central Michigan University",32,0
"Karl Malone*",2190,UTA,206,113,PF,"Louisiana Tech University",34,0
"Matt Maloney",669,HOU,190,87,PG,"University of Pennsylvania",26,0
"Danny Manning",947,PHO,208,104,PF,"University of Kansas",31,0
"Stephon Marbury",1450,MIN,188,81,PG,"Georgia Institute of Technology",20,0
"Donyell Marshall",1123,GSW,206,98,SF,"University of Connecticut",24,0
"Darrick Martin",841,LAC,180,77,PG,"University of California, Los Angeles",26,0
"Jamal Mashburn",723,MIA,203,108,SF,"University of Kentucky",25,0
"Anthony Mason",1039,CHH,201,113,PF,"Tennessee State University",31,0
"Tony Massenburg",396,VAN,206,99,C,"University of Maryland",30,0
"Vernon Maxwell",291,TOT,193,81,SG,"University of Florida",32,0
"Vernon Maxwell",81,ORL,193,81,SG,"University of Florida",32,0
"Vernon Maxwell",210,CHH,193,81,SG,"University of Florida",32,0
"Lee Mayberry",363,VAN,185,78,PG,"University of Arkansas",27,0
"Walter McCarty",788,BOS,208,104,SF,"University of Kentucky",23,0
"George McCloud",456,PHO,198,92,SF,"Florida State University",30,0
"Xavier McDaniel",25,NJN,201,92,SF,"Wichita State University",34,0
"Antonio McDyess",1225,PHO,206,99,PF,"University of Alabama",23,0
"Tracy McGrady",451,TOR,203,95,SF,,18,0
"Jim McIlvaine",247,SEA,216,108,C,"Marquette University",25,0
"Derrick McKey",359,IND,206,92,SF,"University of Alabama",31,0
"Aaron McKie",332,TOT,196,94,SG-SF,"Temple University",25,0
"Aaron McKie",109,DET,196,94,SF,"Temple University",25,0
"Aaron McKie",223,PHI,196,94,SG,"Temple University",25,0
"Nate McMillan",62,SEA,196,88,SG,"North Carolina State University",33,0
"Ron Mercer",1221,BOS,201,95,SG,"University of Kentucky",21,0
"Marko Milic",92,PHO,198,106,SF,,20,0
"Anthony Miller",79,ATL,206,102,PF,"Michigan State University",26,0
"Oliver Miller",401,TOR,206,127,C,"University of Arkansas",27,0
"Reggie Miller*",1578,IND,201,83,SG,"University of California, Los Angeles",32,0
"Chris Mills",776,NYK,198,97,SF,"University of Arizona",28,0
"Terry Mills",212,MIA,208,104,PF,"University of Michigan",30,0
"Greg Minor",345,BOS,198,95,SG,"University of Louisville",26,0
"Sam Mitchell",1000,MIN,198,95,SF,"Mercer University",34,0
"Eric Montross",138,TOT,213,122,C,"University of North Carolina",26,0
"Eric Montross",67,PHI,213,122,C,"University of North Carolina",26,0
"Eric Montross",71,DET,213,122,C,"University of North Carolina",26,0
"Chris Morris",233,UTA,203,95,SF,"Auburn University",32,0
"Lawrence Moten",9,WAS,196,83,SG,"Syracuse University",25,0
"Alonzo Mourning*",1115,MIA,208,108,C,"Georgetown University",27,0
"Chris Mullin*",927,IND,198,90,SF,"St. John's University",34,0
"Eric Murdock",507,MIA,185,86,PG,"Providence College",29,0
"Lamond Murray",1220,LAC,201,107,SF,"University of California",24,0
"Tracy Murray",1238,WAS,201,102,SF,"University of California, Los Angeles",26,0
"Dikembe Mutombo*",1101,ATL,218,111,C,"Georgetown University",31,0
"Martin Muursepp",233,DAL,206,106,PF,,23,0
"Pete Myers",14,NYK,198,81,SG,"University of Arkansas at Little Rock",34,0
"Steve Nash",691,PHO,190,88,PG,"Santa Clara University",23,0
"Ivano Newbill",58,VAN,206,111,PF,"Georgia Institute of Technology",27,0
"Johnny Newman",1089,DEN,201,86,SF,"University of Richmond",34,0
"Jeff Nordgaard",18,MIL,201,102,PF,"University of Wisconsin-Green Bay",24,0
"Charles O'Bannon",64,DET,196,94,SG,"University of California, Los Angeles",22,0
"Jermaine O'Neal",269,POR,211,102,PF,,19,0
"Shaquille O'Neal*",1699,LAL,216,147,C,"Louisiana State University",25,0
"Charles Oakley",711,NYK,203,102,PF,"Virginia Union University",34,0
"Hakeem Olajuwon*",772,HOU,213,115,C,"University of Houston",35,0
"Brian Oliver",15,ATL,193,95,SG,"Georgia Institute of Technology",29,0
"Kevin Ollie",123,TOT,193,88,PG,"University of Connecticut",25,0
"Kevin Ollie",46,DAL,193,88,PG,"University of Connecticut",25,0
"Kevin Ollie",77,ORL,193,88,PG,"University of Connecticut",25,0
"Greg Ostertag",297,UTA,218,127,C,"University of Kansas",24,0
"Bo Outlaw",783,ORL,203,95,PF,"University of Houston",26,0
"Doug Overton",62,PHI,190,86,PG,"La Salle University",28,0
"Billy Owens",818,SAC,203,99,SF,"Syracuse University",28,0
"Robert Pack",94,DAL,188,81,PG,"University of Southern California",28,0
"Anthony Parker",72,PHI,198,97,SG,"Bradley University",22,0
"Cherokee Parks",558,MIN,196,95,C,"Idaho State University",25,0
"Gary Payton*",1571,SEA,193,81,PG,"Oregon State University",29,0
"Anthony Peeler",469,TOT,193,94,SG,"University of Missouri",28,0
"Anthony Peeler",79,VAN,193,94,SG,"University of Missouri",28,0
"Anthony Peeler",390,MIN,193,94,SG,"University of Missouri",28,0
"Will Perdue",394,SAS,213,108,C,"Vanderbilt University",32,0
"Sam Perkins",580,SEA,206,106,PF,"University of North Carolina",36,0
"Elliot Perry",591,MIL,183,68,PG,"University of Memphis",28,0
"Chuck Person",409,SAS,203,99,PF,"Auburn University",33,0
"Wesley Person",1204,CLE,198,88,SG,"Auburn University",26,0
"Bobby Phills",642,CHH,196,95,SG,"Southern University and A&M College",28,0
"Eric Piatkowski",760,LAC,201,97,SG,"University of Nebraska",27,0
"Ricky Pierce",151,MIL,193,92,SG,"Rice University",38,0
"Scottie Pippen*",841,CHI,203,95,SF,"University of Central Arkansas",32,0
"Scot Pollard",89,DET,211,120,C,"University of Kansas",22,0
"Olden Polynice",550,SAC,211,99,C,"University of Virginia",33,0
"Mark Pope",39,IND,208,106,SF,"University of Kentucky",25,0
"Terry Porter",777,MIN,190,88,PG,"University of Wisconsin-Stevens Point",34,0
"Vitaly Potapenko",570,CLE,208,127,C,"Wright State University",22,0
"Brent Price",406,HOU,185,74,PG,"University of Oklahoma",29,0
"Mark Price",597,ORL,183,77,PG,"Georgia Institute of Technology",33,0
"Theo Ratliff",809,TOT,208,102,C,"University of Wyoming",24,0
"Theo Ratliff",157,DET,208,102,C,"University of Wyoming",24,0
"Theo Ratliff",652,PHI,208,102,C,"University of Wyoming",24,0
"Eldridge Recasner",548,ATL,190,86,SG,"University of Washington",30,0
"Bryant Reeves",1207,VAN,213,124,C,"Oklahoma State University",24,0
"Khalid Reeves",717,DAL,190,90,PG,"University of Arizona",25,0
"Don Reid",238,DET,203,113,PF,"Georgetown University",24,0
"J.R. Reid",384,CHH,203,106,PF,,29,0
"Shawn Respert",339,TOT,185,88,SG,"Michigan State University",25,0
"Shawn Respert",257,TOR,185,88,SG,"Michigan State University",25,0
"Shawn Respert",82,DAL,185,88,SG,"Michigan State University",25,0
"Rodrick Rhodes",337,HOU,198,102,SF,"University of Southern California",24,0
"Glen Rice",1826,CHH,201,97,SF,"University of Michigan",30,0
"Pooh Richardson",289,LAC,185,81,PG,"University of California, Los Angeles",31,0
"Mitch Richmond*",1623,SAC,196,97,SG,"Kansas State University",32,0
"Isaiah Rider",1458,POR,196,97,SG,"University of Nevada, Las Vegas",26,0
"Eric Riley",139,DAL,213,111,C,"University of Michigan",27,0
"Stanley Roberts",457,MIN,213,129,C,"Louisiana State University",27,0
"Chris Robinson",162,TOT,196,90,SG,"Western Kentucky University",23,0
"Chris Robinson",54,VAN,196,90,SG,"Western Kentucky University",23,0
"Chris Robinson",108,SAC,196,90,SG,"Western Kentucky University",23,0
"Clifford Robinson",1133,PHO,206,99,SF,"University of Southern California",31,0
"David Robinson*",1574,SAS,216,106,C,"United States Naval Academy",32,0
"Glenn Robinson",1308,MIL,201,102,SF,"Purdue University",25,0
"James Robinson",541,LAC,198,95,PG,"University of Nevada, Las Vegas",27,0
"Larry Robinson",17,VAN,190,81,SF,"Centenary College of Louisiana",30,0
"Dennis Rodman*",375,CHI,201,95,PF,"Southeastern Oklahoma State University",36,0
"Carlos Rogers",112,TOT,211,99,PF,"Tennessee State University",26,0
"Carlos Rogers",108,TOR,211,99,PF,"Tennessee State University",26,0
"Rodney Rogers",1149,LAC,201,106,SF,"Wake Forest University",26,0
"Roy Rogers",20,TOT,201,106,PF,"Wake Forest University",24,0
"Roy Rogers",7,BOS,201,106,PF,"Wake Forest University",24,0
"Roy Rogers",13,TOR,201,106,PF,"Wake Forest University",24,0
"Sean Rooks",139,LAL,208,113,C,"University of Arizona",28,0
"Jalen Rose",771,IND,203,95,SF,"University of Michigan",25,0
"Malik Rose",158,SAS,201,113,PF,"Drexel University",23,0
"Donald Royal",79,TOT,203,95,SF,"University of Notre Dame",31,0
"Donald Royal",5,ORL,203,95,SF,"University of Notre Dame",31,0
"Donald Royal",74,CHH,203,95,SF,"University of Notre Dame",31,0
"Clifford Rozier",6,MIN,211,111,C,"University of Louisville",25,0
"Bryon Russell",738,UTA,201,102,SF,"California State University, Long Beach",27,0
"Arvydas Sabonis*",1167,POR,221,126,C,,33,0
"Kevin Salvadori",5,SAC,213,104,C,"University of North Carolina",27,0
"Danny Schayes",406,ORL,211,106,C,"Syracuse University",38,0
"Detlef Schrempf",1232,SEA,206,97,SF,"University of Washington",35,0
"Dennis Scott",888,TOT,203,103,SF,"Georgia Institute of Technology",29,0
"Dennis Scott",707,DAL,203,103,SF,"Georgia Institute of Technology",29,0
"Dennis Scott",181,PHO,203,103,SF,"Georgia Institute of Technology",29,0
"Shawnelle Scott",44,CLE,208,113,C,"St. John's University",25,0
"Shea Seals",4,LAL,196,95,SG,"University of Tulsa",22,0
"Malik Sealy",591,DET,203,86,SF,"St. John's University",27,0
"Rony Seikaly",746,TOT,211,104,C,"Syracuse University",32,0
"Rony Seikaly",704,ORL,211,104,C,"Syracuse University",32,0
